transactionslist,cnt
"tv,tv,tv,refrigerators",3
"tablet,tablet,tablet,headphone",3
"vacuum,vacuum,tablet",3
"smartphone,smartphone,smartphone,radar",3
"smartphone,smartphone,meat_grinder",3
"washer,vacuum,vacuum",3
"tv,tv,smartphone,smartphone,smartphone,washer,washer",3
"water_heater,air_conditioner,refrigerators,washer",3
"smartphone,microwave,microwave",3
"notebook,notebook,smartphone,smartphone,smartphone,smartphone,notebook",3
"smartphone,telephone,telephone",3
"smartphone,smartphone,desktop",3
"tablet,tablet,iron,tablet",3
"vacuum,meat_grinder",3
"tv,tv,tv,water_heater,bed",3
"tv,washer,smartphone",3
"smartphone,smartphone,smartphone,notebook,notebook,notebook,notebook",3
"refrigerators,vacuum,refrigerators",3
"smartphone,smartphone,subwoofer",3
"meat_grinder,meat_grinder,mixer,microwave,microwave,smartphone",3
"smartphone,smartphone,smartphone,smartphone,clocks",3
"smartphone,smartphone,smartphone,oven",3
"smartphone,smartphone,tv,tv,smartphone,smartphone",3
"tv,subwoofer",3
"smartphone,washer,smartphone",3
"smartphone,smartphone,costume",3
"tablet,tablet,tablet,tablet,smartphone",3
"clocks,smartphone,smartphone,smartphone,smartphone,clocks,clocks",3
"videoregister,smartphone,smartphone",3
"refrigerators,refrigerators,refrigerators,refrigerators,refrigerators",3
"smartphone,saw",3
"air_conditioner,tv,smartphone,air_conditioner,tv,smartphone,air_conditioner,tv",3
"tv,tv,washer",3
"oven,vacuum",3
"washer,refrigerators,refrigerators",3
"smartphone,smartphone,smartphone,tv,player",3
"washer,washer,tv",3
"washer,washer,iron,washer",3
"microwave,hob,oven",3
"smartphone,refrigerators,refrigerators,refrigerators,refrigerators,smartphone,smartphone",3
"smartphone,bicycle",3
"smartphone,smartphone,vacuum,headphone",3
"smartphone,smartphone,notebook,notebook",3
"washer,washer,vacuum",3
"washer,refrigerators,tv",3
"tv,drill",3
"smartphone,smartphone,clocks,smartphone,smartphone",3
"smartphone,smartphone,smartphone,videoregister",3
"smartphone,telephone,smartphone",3
"tv,washer,tv,tv",3
"monitor,smartphone",3
"smartphone,notebook,notebook,smartphone,smartphone,smartphone",3
"oven,smartphone,smartphone,smartphone",3
"washer,washer,refrigerators,smartphone",3
"smartphone,smartphone,smartphone,tv,tv,tv,smartphone,smartphone",3
"refrigerators,tv,tv",3
"smartphone,tablet,smartphone,smartphone",3
"refrigerators,washer,washer,smartphone",3
"smartphone,smartphone,washer,washer,smartphone",3
"smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,clocks",3
"smartphone,tv,smartphone,smartphone,headphone,headphone,headphone,headphone",3
"notebook,vacuum",3
"tablet,tablet,tablet,smartphone,smartphone,smartphone",3
"smartphone,headphone,headphone,smartphone,smartphone,smartphone",3
"headphone,clocks,clocks,clocks",3
"sofa,smartphone,smartphone,smartphone",3
"tv,vacuum,tv,tv",3
"smartphone,smartphone,smartphone,smartphone,smartphone,player",3
"washer,washer,tv,smartphone,smartphone,washer,washer",3
"oven,oven,oven",3
"blanket,monitor,monitor",2
"vacuum,refrigerators,washer",2
"refrigerators,washer,refrigerators,refrigerators,refrigerators,washer",2
"smartphone,smartphone,kettle,tv",2
"washer,drill",2
